query,page,clicks,ctr,impressions,position
5 errores al hacer jabones de glicerina,https://spacionatural.cl/collections/glicerina-para-hacer-jabones,0,0.0,2,27
5 errores al hacer jabones de glicerina,https://spacionatural.cl/blogs/como-hacer-jabones-artesanales/mejores-consejos-para-hacer-jabones-artesanales,0,0.0,7,24
accesorios para velas,https://spacionatural.cl/collections/envases-para-velas,0,0.0,5,8
accesorios para velas,https://spacionatural.cl/collections/mechas-para-velas,0,0.0,7,6
accesorios para velas,https://spacionatural.cl/collections/esencias-para-velas,0,0.0,7,6
accesorios para velas,https://spacionatural.cl/collections/ceras-para-velas,0,0.0,7,6
accesorios para velas,https://spacionatural.cl/collections/colorantes-para-velas,0,0.0,7,6
accesorios para velas,https://spacionatural.cl/collections/moldes-para-velas,0,0.0,7,6
accesorios para velas,https://spacionatural.cl/pages/insumos-para-velas,0,0.0,7,5
accesorios para velas,https://spacionatural.cl/collections/herramientas-de-velas,0,0.0,7,6
aceie esencial de bergamota propiedades aromaterapia,https://spacionatural.cl/products/aceite-esencial-bergamota-10-ml,0,0.0,1,95
aceie esencial de bergamota propiedades aromaterapia,https://spacionatural.cl/products/aceite-esencial-bergamota-5ml,0,0.0,3,86
aceite alcanfor,https://spacionatural.cl/products/aceite-esencial-alcanfor-10ml,0,0.0,2,6
aceite alcanfor,https://spacionatural.cl/products/aceite-esencial-alcanfor-5ml,0,0.0,1,20
aceite alcanforado para que sirve,https://spacionatural.cl/products/aceite-esencial-alcanfor-10ml,0,0.0,1,22
aceite alcanforado para que sirve,https://spacionatural.cl/products/aceite-esencial-alcanfor-5ml,0,0.0,1,32
aceite arbol de te,https://spacionatural.cl/products/aceite-esencial-arbol-del-te-10ml,0,0.0,7,37
aceite arbol de te,https://spacionatural.cl/products/aceite-esencial-arbol-del-te-5ml,0,0.0,111,11
aceite arbol de te propiedades,https://spacionatural.cl/products/aceite-esencial-arbol-del-te-10ml,0,0.0,2,29
aceite arbol de te propiedades,https://spacionatural.cl/products/aceite-esencial-arbol-del-te-5ml,0,0.0,1,21
aceite arbol.de te,https://spacionatural.cl/products/aceite-esencial-arbol-del-te-5ml,0,0.0,2,14
aceite arbol.de te,https://spacionatural.cl/products/aceite-esencial-arbol-del-te-10ml,0,0.0,1,25
aceite aroma,https://spacionatural.cl/collections/esencias-aromaticas,0,0.0,1,20
aceite aroma,https://spacionatural.cl/pages/aceites-esenciales,0,0.0,1,15
aceite aromaterapia,https://spacionatural.cl/pages/aceites-esenciales,0,0.0,39,11
aceite aromaterapia,https://spacionatural.cl/products/aceite-esencial-de-lavanda-5ml,0,0.0,1,31
aceite base para difusores,https://spacionatural.cl/pages/aceites-esenciales,0,0.0,1,19
aceite base para difusores,https://spacionatural.cl/collections/esencias-aromaticas,0,0.0,1,24
aceite bomba para el crecimiento del cabello,https://spacionatural.cl/blogs/recetas-cosmetica-natural/aceites-para-el-crecimiento-del-cabello-guia,0,0.0,1,14
aceite bomba para el crecimiento del cabello,https://spacionatural.cl/blogs/news/aceites-para-el-crecimiento-del-cabello-la-guia-definitiva-que-no-sabias-que-necesitabas,0,0.0,1,11
aceite camomila,https://spacionatural.cl/products/aceite-de-manzanilla,0,0.0,4,8
aceite camomila,https://spacionatural.cl/products/aceite-esencial-manzanilla-mix-10ml,0,0.0,1,14
aceite canela,https://spacionatural.cl/products/aceite-esencial-canela-10-ml,0,0.0,18,7
aceite canela,https://spacionatural.cl/products/aceite-esencial-canela-5-ml,0,0.0,3,10
aceite canela propiedades,https://spacionatural.cl/products/aceite-esencial-canela-10-ml,0,0.0,4,14
aceite canela propiedades,https://spacionatural.cl/products/aceite-esencial-canela-5-ml,0,0.0,1,47
aceite castor para el cabello,https://spacionatural.cl/blogs/recetas-cosmetica-natural/recetas-con-aceite-de-ricino-para-el-cabello,0,0.0,2,15
aceite castor para el cabello,https://spacionatural.cl/products/aceite-de-ricino,0,0.0,4,10
aceite cipres,https://spacionatural.cl/products/aceite-esencial-cipres-10ml,1,11.1,9,6
aceite cipres,https://spacionatural.cl/products/aceite-esencial-cipres-5ml,0,0.0,2,20
aceite cipres beneficios,https://spacionatural.cl/products/aceite-esencial-cipres-5ml,0,0.0,2,20
aceite cipres beneficios,https://spacionatural.cl/products/aceite-esencial-cipres-10ml,0,0.0,7,6
aceite clavo de olor,https://spacionatural.cl/products/aceite-esencial-clavo-de-olor-10ml,0,0.0,16,6
aceite clavo de olor,https://spacionatural.cl/products/aceite-esencial-clavo-olor-5ml,0,0.0,1,27
